Tipo de precipitacion,Temperatura (C),Temperatura aparente (C),Humedad,Velocidad viento (km/h),Direccion del viento (grados),Visibilidad (km),Presion (millibares)
1,9.472,7.389,0.89,14.12,0.699164345,15.826,0.970135133
1,9.356,7.228,0.86,14.265,0.721448468,15.826,0.97061297
1,9.378,9.378,0.89,3.928,0.568245125,14.957,0.97090923
1,8.289,5.944,0.83,14.104,0.749303621,15.826,0.971358398
1,8.756,6.978,0.83,11.045,0.721448468,15.826,0.971453965
1,9.222,7.111,0.85,13.959,0.718662953,14.957,0.971597316
1,7.733,5.522,0.95,12.365,0.721448468,9.982,0.971654657
1,8.772,6.528,0.89,14.152,0.724233983,9.982,0.971769338
1,10.822,10.822,0.82,11.318,0.721448468,9.982,0.972275846
1,13.772,13.772,0.72,12.526,0.777158774,9.982,0.972132495
1,16.017,16.017,0.67,17.565,0.807799443,11.206,0.97232363
1,17.144,17.144,0.54,19.787,0.880222841,11.447,0.972629446
1,17.8,17.8,0.55,21.944,0.782729805,11.27,0.972486095
1,17.333,17.333,0.51,20.689,0.805013928,11.27,0.972380971
1,18.878,18.878,0.47,15.376,0.729805014,11.447,0.972084711
1,18.911,18.911,0.46,10.401,0.802228412,11.27,0.971415738
1,15.389,15.389,0.6,14.41,0.699164345,11.27,0.971109922
1,15.55,15.55,0.63,11.157,0.640668524,11.447,0.971129035
1,14.256,14.256,0.69,8.517,0.454038997,11.206,0.970794549
1,13.144,13.144,0.7,7.631,0.38718663,11.206,0.970804106
1,11.55,11.55,0.77,7.39,0.409470752,11.029,0.970823219
1,11.183,11.183,0.76,4.927,0.445682451,9.982,0.970746765
1,10.117,10.117,0.79,6.649,0.454038997,15.826,0.970393165
1,10.2,10.2,0.77,3.928,0.423398329,14.957,0.970498289
1,10.422,10.422,0.62,16.986,0.417827298,15.826,0.969437489
1,9.911,7.567,0.66,17.211,0.415041783,15.826,0.969246354
1,11.183,11.183,0.8,10.819,0.454038997,14.957,0.963999694
1,7.156,5.044,0.79,11.077,0.501392758,15.826,0.969504387
1,6.111,4.817,0.82,6.649,0.448467967,15.826,0.969485273
1,6.789,4.272,0.83,13.009,0.376044568,14.957,0.9695235
1,7.261,5.156,0.85,11.173,0.39275766,6.199,0.96955217
1,7.8,5.528,0.83,12.816,0.417827298,8.05,0.969208127
1,9.872,7.933,0.78,13.749,0.445682451,9.982,0.969284581
1,12.222,12.222,0.72,15.633,0.417827298,9.982,0.969294138
1,15.094,15.094,0.61,17.549,0.420612813,9.982,0.969016992
1,17.356,17.356,0.52,22.782,0.470752089,9.982,0.968911868
1,19.006,19.006,0.46,23.892,0.470752089,9.982,0.96813777
1,20.044,20.044,0.4,28.368,0.473537604,9.982,0.967354116
1,21.05,21.05,0.4,26.903,0.520891365,10.352,0.966608689
1,21.183,21.183,0.37,25.696,0.498607242,9.982,0.965729467
1,20.117,20.117,0.4,25.309,0.451253482,9.982,0.965070051
1,20.217,20.217,0.36,18.113,0.448467967,10.352,0.964525316
1,20,20,0.43,23.426,0.445682451,9.982,0.964047478
1,17.8,17.8,0.5,20.045,0.417827298,11.206,0.963665208
1,16.061,16.061,0.53,21.397,0.415041783,9.982,0.963426289
1,15.022,15.022,0.55,21.381,0.442896936,9.982,0.963464516
1,14.422,14.422,0.58,20.012,0.442896936,15.826,0.963177813
1,14.256,14.256,0.59,16.503,0.467966574,14.957,0.96321604
1,13.772,13.772,0.6,17.098,0.445682451,15.826,0.962709532
1,13.283,13.283,0.63,14.361,0.445682451,15.826,0.962613964
1,8.633,5.467,0.87,22.041,0.08913649,6.698,0.960549705
1,11.25,11.25,0.83,11.334,0.423398329,15.826,0.962375045
1,11.183,11.183,0.89,11.206,0.501392758,9.902,0.962107456
1,10.694,10.694,0.95,10.401,0.448467967,6.698,0.961973662
1,11.111,11.111,0.93,12.011,0.389972145,5.973,0.961734743
1,11.111,11.111,0.93,9.209,0.286908078,10.803,0.961495824
